filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs-bw=2_write.json,numjobs-bw,write,64k,2,0.0,66.39,0.0,4149.48,0.0,0.0,1899.31,2277.38,44.19,54.87,99.06
test_numjobs-bw=3_read.json,numjobs-bw,read,64k,3,145.14,0.0,9071.03,0.0,1303.82,1646.59,0.0,0.0,15.54,83.17,98.71
test_numjobs-bw=3_write.json,numjobs-bw,write,64k,3,0.0,83.65,0.0,5228.35,0.0,0.0,2260.86,2506.75,47.07,51.83,98.91
test_numjobs-bw=4_read.json,numjobs-bw,read,64k,4,144.72,0.0,9045.31,0.0,1743.34,6979.58,0.0,0.0,11.21,70.83,82.04
test_numjobs-bw=4_write.json,numjobs-bw,write,64k,4,0.0,92.61,0.0,5788.25,0.0,0.0,2722.74,4554.75,41.65,49.02,90.66
test_numjobs-bw=5_read.json,numjobs-bw,read,64k,5,144.98,0.0,9061.51,0.0,2174.94,17170.43,0.0,0.0,8.75,58.88,67.63
test_numjobs-bw=5_write.json,numjobs-bw,write,64k,5,0.0,92.62,0.0,5788.62,0.0,0.0,3402.87,18481.15,33.95,40.78,74.73
test_numjobs-bw=6_read.json,numjobs-bw,read,64k,6,142.87,0.0,8929.48,0.0,2648.56,17956.86,0.0,0.0,7.51,48.37,55.88
test_numjobs-bw=6_write.json,numjobs-bw,write,64k,6,0.0,92.55,0.0,5784.26,0.0,0.0,4086.56,18743.3,27.78,34.2,61.98
test_numjobs-bw=7_read.json,numjobs-bw,read,64k,7,138.9,0.0,8681.46,0.0,3178.21,18219.01,0.0,0.0,7.05,40.89,47.94
test_numjobs-bw=7_write.json,numjobs-bw,write,64k,7,0.0,92.49,0.0,5780.75,0.0,0.0,4770.15,23724.03,23.96,28.66,52.62
test_numjobs-bw=8_read.json,numjobs-bw,read,64k,8,141.14,0.0,8821.32,0.0,3574.44,26083.33,0.0,0.0,6.11,37.14,43.25
test_numjobs-bw=8_write.json,numjobs-bw,write,64k,8,0.0,92.61,0.0,5788.04,0.0,0.0,5445.39,26607.62,21.5,25.56,47.05
test_numjobs-bw=9_read.json,numjobs-bw,read,64k,9,140.28,0.0,8767.33,0.0,4044.83,26083.33,0.0,0.0,5.25,32.75,38.0
test_numjobs-bw=9_write.json,numjobs-bw,write,64k,9,0.0,92.51,0.0,5781.85,0.0,0.0,6130.95,26607.62,19.05,23.03,42.08
test_numjobs-bw=10_read.json,numjobs-bw,read,64k,10,136.84,0.0,8552.54,0.0,4608.25,29491.2,0.0,0.0,5.05,28.91,33.97
