filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu-bw=22_write.json,nbcpu-bw,write,64k,22,0.0,153.47,0.0,9592.15,0.0,0.0,8616.97,13041.66,4.55,29.54,34.09
test_nbcpu-bw=23_read.json,nbcpu-bw,read,64k,23,168.67,0.0,10542.01,0.0,8213.87,11337.73,0.0,0.0,2.51,36.34,38.86
test_nbcpu-bw=23_write.json,nbcpu-bw,write,64k,23,0.0,150.14,0.0,9383.77,0.0,0.0,9227.97,12910.59,5.2,32.87,38.08
test_nbcpu-bw=24_read.json,nbcpu-bw,read,64k,24,173.75,0.0,10859.48,0.0,8336.49,11862.02,0.0,0.0,2.63,38.94,41.57
test_nbcpu-bw=24_write.json,nbcpu-bw,write,64k,24,0.0,151.99,0.0,9499.22,0.0,0.0,9529.79,14090.24,5.14,34.96,40.1
test_nbcpu-bw=25_read.json,nbcpu-bw,read,64k,25,173.45,0.0,10840.82,0.0,8713.85,11862.02,0.0,0.0,2.8,39.73,42.53
test_nbcpu-bw=25_write.json,nbcpu-bw,write,64k,25,0.0,152.35,0.0,9521.99,0.0,0.0,9920.28,14090.24,5.39,35.49,40.89
test_nbcpu-bw=26_read.json,nbcpu-bw,read,64k,26,174.95,0.0,10934.64,0.0,8998.84,12255.23,0.0,0.0,2.95,40.66,43.61
test_nbcpu-bw=26_write.json,nbcpu-bw,write,64k,26,0.0,152.01,0.0,9500.7,0.0,0.0,10358.08,14352.38,5.51,35.59,41.1
test_nbcpu-bw=27_read.json,nbcpu-bw,read,64k,27,174.28,0.0,10892.51,0.0,9395.26,14090.24,0.0,0.0,3.03,40.78,43.81
test_nbcpu-bw=27_write.json,nbcpu-bw,write,64k,27,0.0,154.53,0.0,9658.2,0.0,0.0,10594.88,14745.6,5.83,36.83,42.66
test_nbcpu-bw=28_read.json,nbcpu-bw,read,64k,28,172.02,0.0,10751.46,0.0,9883.47,15138.82,0.0,0.0,3.05,40.92,43.96
test_nbcpu-bw=28_write.json,nbcpu-bw,write,64k,28,0.0,153.0,0.0,9562.24,0.0,0.0,11113.78,15794.18,5.67,37.27,42.94
